age,heart_rate,glucose,prior_admission,gender_encoded
-0.030699529481251594,-0.010459363510818371,0.022325707192761907,0.000460341462324677,-0.004852155663016544
-0.011099443104004264,-0.008432575505101809,-0.006521439725492939,-0.00718691131975084,1.5369654349842073e-05
-0.0110881088537676,0.0017957816447457065,-0.011726824785880606,-0.011931745471840952,-0.00027410253325655396
-0.0050470029140237726,-0.026228480379422773,0.01110555061684512,-0.006166298596234879,0.0031112312728363237
0.022432474493992192,-0.028881422160364805,-0.006121258373043203,0.014388438126097856,0.004956767913317958
0.10324102886200386,0.20783566905632203,0.03208588116624201,0.01784368089948097,0.018768740015951562
-0.01062693002292392,-0.00874922385522242,-0.006655433218540672,-0.007220238687602981,2.682578428999107e-05
-0.014766568980954367,-0.017998942107874814,-0.0006362462993123501,0.0002820444472926418,-0.0001052870591510996
0.0035020004446749704,-0.016668351026610507,0.03152675671831912,-0.011390749993740078,-0.00019465614264344025
-0.015645463864040407,-0.010903372709410391,0.001069162610101194,-0.0075420757988777665,-0.00020325023777262844
-0.01216615726130997,-0.026611140131296805,0.00998449922151898,-0.004405691002560764,-2.651082635138798e-05
-0.012915483756908968,-0.011356730242319375,-0.008324313348856305,-0.0006571418748749849,2.8669222959655437e-05
-0.008711109193691557,-0.01624424197324289,0.006091163026702437,-0.00724963302786786,0.0028888211680998506
-0.010160166452860601,-0.008378167478116557,-0.007318947045118319,-0.007377853191671507,1.0134167766961395e-05
-0.006301169128964616,0.0016852746516895936,-0.008463056770375212,-0.004118846832659038,0.003972798080309251
-0.012843683046216912,-0.009445101791286338,-0.006579906873971006,-0.004393185296750908,3.687700822516179e-05
-0.009592012510000449,-0.013422488435510653,-0.004443245823164846,-0.005529487735518863,-0.00023776549580519104
-0.011360871523542905,-0.009949897222651868,-0.007470048309726057,-0.0044631849506785864,1.9002006599418046e-05
-0.012644765141354139,-0.01313651537082997,0.003925963857142942,-0.011187855068902174,-0.00018182827605665232
0.10923701718305695,-0.012685234037191705,0.03398245487771496,-0.08439399301116288,0.0006347549875827172
-0.01934200253609282,-0.020923764017750517,-0.008200404114611783,0.02652081906302385,-0.0012796483945687219
-0.013229760762020721,-0.011875893028877064,-0.0036150915894132976,-0.004607002515363749,0.00010274789567484871
-0.011532183993854134,-0.012740103482918581,-0.0009817439787120962,-0.008143126506047005,0.0001721579615318221
-0.01951414111950216,0.04083929091822155,-0.023721513608929098,-0.02201888032781843,0.0011902441380282525
0.007321643750132461,-0.016224763497939602,0.016581115127375517,-0.011047820945964376,0.000144825566396014
0.07495868310129235,0.14885500993355819,0.01980418224000317,-0.021721808587933166,-0.03512106668692045
-0.013640191095798787,-0.011674033238300486,-0.008160010788312147,0.00015765272964730518,9.158239276411747e-05
-0.01296648991375218,-0.009761187793368119,-0.006130248548595078,-0.0043805808936098626,1.3507149325242278e-05
-0.013804110749237621,-0.01151302825951556,-0.007674791810860617,-0.0003368330268034263,0.00010376384641723571
-0.012547363240197592,0.012885345481898037,-0.010067095276777923,-0.0056922199900868295,0.004696333025164302
0.06307603112550121,-0.03909253133458997,0.05481128773246742,-0.032310990466592,0.00029120294321358873
-0.014924339489742958,-0.0028141728510469467,-0.008210109401973645,-0.007577178578180097,0.0003008003209436513
-0.015688067040939772,-0.003699168552478838,-0.0073380532576927116,-0.005601209694929303,-0.0008985014539593768
-0.010632795594854395,-0.008077911317907962,-0.0073323317291444185,-0.007331180553528026,0.00014921919543478695
-0.009629947983194928,-0.008488346996455053,-0.007686539926139447,-0.0073878762836161824,-3.228881059441119e-05
-0.013935305980244062,-0.011135708123684326,0.0061946450488394485,0.007833179638598024,-0.0021818105835090945
-0.00653110292427495,-0.010498622282170475,-0.00957448831203589,-0.006886202224199438,0.0002654157426807563
0.004319157490021702,-0.029309517750034934,0.015746599688471474,-0.008564449280154842,0.004583209851696621
